Species1.fasta,Species10.fasta,Species11.fasta,Species12.fasta,Species13.fasta,Species14.fasta,Species15.fasta,Species16.fasta,Species17.fasta,Species18.fasta,Species19.fasta,Species2.fasta,Species20.fasta,Species21.fasta,Species22.fasta,Species23.fasta,Species24.fasta,Species25.fasta,Species26.fasta,Species27.fasta,Species28.fasta,Species29.fasta,Species3.fasta,Species30.fasta,Species31.fasta,Species32.fasta,Species33.fasta,Species4.fasta,Species5.fasta,Species6.fasta,Species7.fasta,Species8.fasta,Species9.fasta
0.000695831,0.933887185,0.930899566,0.92567353,0.924629784,0.930649795,0.911686236,0.94682472,0.953110944,0.9515829,0.958820864,0.948000079,0.954762203,0.944421745,0.939296173,0.95183057,0.944616795,0.942078239,0.920498989,0.919556691,0.930416565,0.939032345,0.956486441,0.940823974,0.932142116,0.936069891,0.955625242,0.948480067,0.9254578,0.945361608,0.956971068,0.96051722,0.943339148
0.933887185,0.00067718,0.949345367,0.945694749,0.946476584,0.938178046,0.935241546,0.941360794,0.948514282,0.940966798,0.934736738,0.951364595,0.935504241,0.954079473,0.94588559,0.947498511,0.940468147,0.749978018,0.939126099,0.93996334,0.943577021,0.867628864,0.945187298,0.869572239,0.947843257,0.942265753,0.945553944,0.952312648,0.950539667,0.745408464,0.955410902,0.95616642,0.941065297
0.930899566,0.949345367,0.000701839,0.741388448,0.736063151,0.724073997,0.71353917,0.904912386,0.948050178,0.920784396,0.932712659,0.936709637,0.953352522,0.937006293,0.923338513,0.944438441,0.890801419,0.942943555,0.715246738,0.712272965,0.298665239,0.949463872,0.94298585,0.950225005,0.238155942,0.920343033,0.946416504,0.911296393,0.721215991,0.956828557,0.952266002,0.949885747,0.895440592
0.92567353,0.945694749,0.741388448,0.000717808,0.70468948,0.728267218,0.680554628,0.907823053,0.942219714,0.918753513,0.935061213,0.933836494,0.952644805,0.930119057,0.922928974,0.938994576,0.892557108,0.947716751,0.707711695,0.676937553,0.739549334,0.951012257,0.945758945,0.947329718,0.742197487,0.920768492,0.944800723,0.913492386,0.696105111,0.953267498,0.948500721,0.948121084,0.900192012
0.924629784,0.946476584,0.736063151,0.70468948,0.000697592,0.665076341,0.61558502,0.905484351,0.946966186,0.91533962,0.933871362,0.935800049,0.953116617,0.935579536,0.920688855,0.947320118,0.888582229,0.944774676,0.554919595,0.610693029,0.730365789,0.948936274,0.945430552,0.94989049,0.734977846,0.916798646,0.947224395,0.909854852,0.680597701,0.955516588,0.954292989,0.94878594,0.896606909
0.930649795,0.938178046,0.724073997,0.728267218,0.665076341,0.000698724,0.622177582,0.903126584,0.939070365,0.91591108,0.933653327,0.930335302,0.951752966,0.928058693,0.918887937,0.939251422,0.888245136,0.940788638,0.641727305,0.626115184,0.721789462,0.944824452,0.942639213,0.941464167,0.727424883,0.915401594,0.943227462,0.905671689,0.690987367,0.946202177,0.943513106,0.946704383,0.896103272
0.911686236,0.935241546,0.71353917,0.680554628,0.61558502,0.622177582,0.000711996,0.890600547,0.93725516,0.906324218,0.922664333,0.924791147,0.947132667,0.923912941,0.915484539,0.936507564,0.87438924,0.934820747,0.611054873,0.260121161,0.709573133,0.940517648,0.934946309,0.941302677,0.713964295,0.903664693,0.938586647,0.89674626,0.653911637,0.944089396,0.941989794,0.942963795,0.882597841
0.94682472,0.941360794,0.904912386,0.907823053,0.905484351,0.903126584,0.890600547,0.000692713,0.93229045,0.944613121,0.946448901,0.931680354,0.953001541,0.933161108,0.926322947,0.930318222,0.733284716,0.952048915,0.900730685,0.901556857,0.904276869,0.939267471,0.936606517,0.939728149,0.903329949,0.930930444,0.936339132,0.61094773,0.903317239,0.946054509,0.934932196,0.937533107,0.727260017
0.953110944,0.948514282,0.948050178,0.942219714,0.946966186,0.939070365,0.93725516,0.93229045,0.0006799,0.936466219,0.528007451,0.948621037,0.948640162,0.948261845,0.942264613,0.536455568,0.933118032,0.944322478,0.939410315,0.941456429,0.942360825,0.944618001,0.642512569,0.947104785,0.937691322,0.940423751,0.646664794,0.944599364,0.945599972,0.956226528,0.951240224,0.914741615,0.933342527
0.9515829,0.940966798,0.920784396,0.918753513,0.91533962,0.91591108,0.906324218,0.944613121,0.936466219,0.000681265,0.938107482,0.912771591,0.950268487,0.912201156,0.610006241,0.93175906,0.939806207,0.96299098,0.914633431,0.915006557,0.920443981,0.940511913,0.937330197,0.939359029,0.922823248,0.214235025,0.936940494,0.929383017,0.915173089,0.948803396,0.928261567,0.9478539,0.929641539
0.958820864,0.934736738,0.932712659,0.935061213,0.933871362,0.933653327,0.922664333,0.946448901,0.528007451,0.938107482,0.000666566,0.937297636,0.946240828,0.938780278,0.934612683,0.478619274,0.931553955,0.942887728,0.929610324,0.92982213,0.934799571,0.935092566,0.62879305,0.933193568,0.930744109,0.936163851,0.623813031,0.933105123,0.933173648,0.943118198,0.936369514,0.904010725,0.92996541
0.948000079,0.951364595,0.936709637,0.933836494,0.935800049,0.930335302,0.924791147,0.931680354,0.948621037,0.912771591,0.937297636,0.000685801,0.958139682,0.396688666,0.913544018,0.946054686,0.923801347,0.950061479,0.927794231,0.930522995,0.934081939,0.952629459,0.947911741,0.953685507,0.935524993,0.916366629,0.949016332,0.939110051,0.932811403,0.958316591,0.773633204,0.953974297,0.929740942
0.954762203,0.935504241,0.953352522,0.952644805,0.953116617,0.951752966,0.947132667,0.953001541,0.948640162,0.950268487,0.946240828,0.958139682,0.000667441,0.95972773,0.955694318,0.952679328,0.948778253,0.941648372,0.95125814,0.950579192,0.950981958,0.933882532,0.953254708,0.936315527,0.954112024,0.953329507,0.950510146,0.958116667,0.949595292,0.942453694,0.95216724,0.9633929,0.94981969
